t	N	x	E	sin(t)
1.000100e+00	1.000005e+00	4.719131e-01	5.121603e+00	1.019945e+00
2.000200e+00	1.000016e+00	4.835780e-01	5.741240e+00	-1.264806e+00
3.000300e+00	1.000014e+00	6.047318e-01	6.715953e+00	5.485074e-01
4.000400e+00	1.000003e+00	3.698073e-01	7.913147e+00	5.846168e-01
5.000500e+00	1.000001e+00	5.338424e-01	9.432782e+00	-1.273475e+00
6.000600e+00	1.000007e+00	6.147249e-01	1.117206e+01	9.945855e-01
7.000700e+00	1.000010e+00	3.204984e-01	1.283839e+01	4.011625e-02
8.000800e+00	1.000005e+00	6.006337e-01	1.448857e+01	-1.044333e+00
9.000900e+00	1.000004e+00	5.432992e-01	1.614675e+01	1.254933e+00
1.000100e+01	1.000009e+00	3.799155e-01	1.752130e+01	-5.118757e-01
1.100110e+01	1.000013e+00	5.826159e-01	1.855426e+01	-6.201693e-01
1.200120e+01	1.000010e+00	4.946272e-01	1.932510e+01	1.280931e+00
1.300130e+01	1.000005e+00	4.848067e-01	1.970105e+01	-9.682789e-01
1.400140e+01	1.000003e+00	4.748763e-01	1.965760e+01	-8.019430e-02
1.500150e+01	1.000004e+00	5.411884e-01	1.924228e+01	1.067726e+00
1.600160e+01	1.000005e+00	5.258284e-01	1.839108e+01	-1.243864e+00
1.700170e+01	1.000008e+00	3.763629e-01	1.723203e+01	4.747563e-01
1.800180e+01	1.000014e+00	6.383417e-01	1.589207e+01	6.551311e-01
1.900190e+01	1.000014e+00	4.736469e-01	1.425723e+01	-1.287167e+00
2.000200e+01	1.000004e+00	3.766319e-01	1.247086e+01	9.410500e-01
2.100210e+01	9.999968e-01	6.755107e-01	1.081765e+01	1.201960e-01
2.200220e+01	1.000004e+00	4.118345e-01	9.216314e+00	-1.090102e+00
2.300230e+01	1.000015e+00	4.537058e-01	7.673745e+00	1.231610e+00
2.400240e+01	1.000013e+00	6.047348e-01	6.466886e+00	-4.371848e-01
2.500250e+01	1.000001e+00	4.382042e-01	5.617090e+00	-6.894689e-01
2.600260e+01	9.999996e-01	5.009890e-01	5.069935e+00	1.292177e+00
2.700270e+01	1.000011e+00	4.965804e-01	4.942192e+00	-9.129248e-01
2.800280e+01	1.000017e+00	5.491632e-01	5.211767e+00	-1.600831e-01
2.900290e+01	1.000008e+00	4.523015e-01	5.851971e+00	1.111440e+00
3.000300e+01	9.999988e-01	4.590615e-01	6.919254e+00	-1.218183e+00
3.100310e+01	1.000002e+00	6.419296e-01	8.236056e+00	3.991969e-01
3.200320e+01	1.000010e+00	3.595696e-01	9.695070e+00	7.231500e-01
3.300330e+01	1.000011e+00	5.135203e-01	1.141640e+01	-1.295956e+00
3.400340e+01	1.000006e+00	6.322098e-01	1.321270e+01	8.839300e-01
3.500350e+01	1.000005e+00	3.329346e-01	1.482132e+01	1.998178e-01
3.600360e+01	1.000010e+00	5.713988e-01	1.634495e+01	-1.131719e+00
3.700370e+01	1.000011e+00	5.503033e-01	1.774115e+01	1.203596e+00
3.800380e+01	1.000005e+00	4.125316e-01	1.875756e+01	-3.608287e-01
3.900390e+01	1.000001e+00	5.388721e-01	1.940853e+01	-7.561422e-01
4.000400e+01	1.000004e+00	5.044673e-01	1.972041e+01	1.298500e+00
4.100410e+01	1.000008e+00	5.212514e-01	1.959823e+01	-8.540933e-01
4.200420e+01	1.000009e+00	4.278003e-01	1.910812e+01	-2.393622e-01
4.300430e+01	1.000011e+00	5.542674e-01	1.825417e+01	1.150920e+00
4.400440e+01	1.000012e+00	5.533595e-01	1.699202e+01	-1.187863e+00
4.500450e+01	1.000007e+00	3.437588e-01	1.554263e+01	3.221168e-01
4.600460e+01	9.999984e-01	6.408844e-01	1.399108e+01	7.884143e-01
4.700470e+01	9.999999e-01	4.959220e-01	1.221809e+01	-1.299808e+00
4.800480e+01	1.000011e+00	3.650004e-01	1.044621e+01	8.234431e-01
4.900490e+01	1.000017e+00	6.555348e-01	8.909784e+00	2.786786e-01
5.000500e+01	1.000008e+00	4.420807e-01	7.495888e+00	-1.169025e+00
5.100510e+01	9.999987e-01	4.527562e-01	6.274526e+00	1.170998e+00
5.200520e+01	1.000003e+00	5.663863e-01	5.463090e+00	-2.830982e-01
5.300530e+01	1.000014e+00	4.809652e-01	5.024417e+00	-8.199355e-01
5.400540e+01	1.000014e+00	4.973724e-01	4.958369e+00	1.299878e+00
5.500550e+01	1.000002e+00	4.568274e-01	5.324429e+00	-7.920086e-01
5.600560e+01	9.999974e-01	5.923292e-01	6.023353e+00	-3.177295e-01
5.700570e+01	1.000006e+00	4.461841e-01	7.079820e+00	1.186016e+00
5.800580e+01	1.000014e+00	4.299477e-01	8.511720e+00	-1.153018e+00
5.900590e+01	1.000011e+00	6.682118e-01	1.006238e+01	2.438099e-01
6.000600e+01	1.000004e+00	3.647399e-01	1.167957e+01	8.506756e-01
6.100610e+01	1.000006e+00	4.904700e-01	1.347121e+01	-1.298710e+00
6.200620e+01	1.000010e+00	6.367172e-01	1.518264e+01	7.598197e-01
6.300630e+01	1.000008e+00	3.601757e-01	1.661850e+01	3.564778e-01
6.400640e+01	1.000002e+00	5.412612e-01	1.789622e+01	-1.201878e+00
