t	N	x	E	sin(t)
1.000000e+02	1.000206e+00	5.000414e-01	3.971461e+02	-6.870667e-01
2.000000e+02	1.000401e+00	5.002731e-01	3.972224e+02	9.984376e-01
3.000000e+02	1.000188e+00	5.000692e-01	3.971363e+02	-7.638517e-01
4.000000e+02	1.000019e+00	4.999522e-01	3.970687e+02	1.115836e-01
5.000000e+02	1.000249e+00	5.002855e-01	3.971608e+02	6.016996e-01
6.000000e+02	1.000395e+00	4.999812e-01	3.972201e+02	-9.859671e-01
7.000000e+02	1.000143e+00	5.002783e-01	3.971213e+02	8.310972e-01
8.000000e+02	1.000008e+00	4.998440e-01	3.970680e+02	-2.217745e-01
9.000000e+02	1.000268e+00	5.002159e-01	3.971705e+02	-5.088168e-01
1.000000e+03	1.000388e+00	5.001547e-01	3.972168e+02	9.611817e-01
1.100000e+03	1.000129e+00	5.001194e-01	3.971127e+02	-8.879622e-01
1.200000e+03	1.000038e+00	4.999101e-01	3.970765e+02	3.291955e-01
1.300000e+03	1.000306e+00	5.003472e-01	3.971838e+02	4.095788e-01
1.400000e+03	1.000369e+00	4.999402e-01	3.972102e+02	-9.243911e-01
1.500000e+03	1.000085e+00	5.002734e-01	3.970987e+02	9.337364e-01
1.600000e+03	1.000037e+00	4.998453e-01	3.970794e+02	-4.325048e-01
1.700000e+03	1.000323e+00	5.002344e-01	3.971923e+02	-3.052251e-01
1.800000e+03	1.000356e+00	5.001858e-01	3.972040e+02	8.760547e-01
1.900000e+03	1.000078e+00	5.000077e-01	3.970924e+02	-9.678482e-01
2.000000e+03	1.000075e+00	5.000486e-01	3.970911e+02	5.304120e-01
2.100000e+03	1.000353e+00	5.002283e-01	3.972029e+02	1.970609e-01
2.200000e+03	1.000327e+00	5.000676e-01	3.971938e+02	-8.167792e-01
2.300000e+03	1.000039e+00	5.001030e-01	3.970806e+02	9.898701e-01
2.400000e+03	1.000082e+00	5.000150e-01	3.970972e+02	-6.216850e-01
2.500000e+03	1.000367e+00	5.001003e-01	3.972092e+02	-8.644701e-02
2.600000e+03	1.000310e+00	5.003390e-01	3.971853e+02	7.473085e-01
2.700000e+03	1.000040e+00	4.997893e-01	3.970773e+02	-9.995302e-01
2.800000e+03	1.000125e+00	5.002926e-01	3.971111e+02	7.051936e-01
2.900000e+03	1.000386e+00	5.000186e-01	3.972161e+02	-2.524631e-02
3.000000e+03	1.000272e+00	5.002556e-01	3.971723e+02	-6.685060e-01
3.100000e+03	1.000009e+00	4.998942e-01	3.970687e+02	9.967091e-01
3.200000e+03	1.000138e+00	5.002123e-01	3.971196e+02	-7.798963e-01
3.300000e+03	1.000393e+00	4.999619e-01	3.972196e+02	1.366244e-01
3.400000e+03	1.000253e+00	5.004565e-01	3.971625e+02	5.813559e-01
3.500000e+03	1.000020e+00	4.996344e-01	3.970691e+02	-9.814419e-01
3.600000e+03	1.000183e+00	5.004673e-01	3.971346e+02	8.448604e-01
3.700000e+03	1.000401e+00	4.998893e-01	3.972222e+02	-2.462964e-01
3.800000e+03	1.000210e+00	5.003342e-01	3.971478e+02	-4.869463e-01
3.900000e+03	9.999978e-01	4.998154e-01	3.970642e+02	9.539193e-01
4.000000e+03	1.000201e+00	5.002767e-01	3.971443e+02	-8.992746e-01
4.100000e+03	1.000401e+00	4.999676e-01	3.972224e+02	3.528929e-01
4.200000e+03	1.000192e+00	5.004040e-01	3.971380e+02	3.864561e-01
4.300000e+03	1.000018e+00	4.996654e-01	3.970685e+02	-9.144850e-01
4.400000e+03	1.000245e+00	5.004625e-01	3.971591e+02	9.424595e-01
4.500000e+03	1.000396e+00	4.999297e-01	3.972205e+02	-4.550828e-01
4.600000e+03	1.000147e+00	5.002370e-01	3.971230e+02	-2.811402e-01
4.700000e+03	1.000006e+00	4.999155e-01	3.970675e+02	8.636314e-01
4.800000e+03	1.000264e+00	5.001792e-01	3.971689e+02	-9.738757e-01
4.900000e+03	1.000389e+00	5.001202e-01	3.972174e+02	5.515899e-01
5.000000e+03	1.000133e+00	5.002038e-01	3.971143e+02	1.723136e-01
5.100000e+03	1.000036e+00	4.998421e-01	3.970757e+02	-8.019935e-01
5.200000e+03	1.000302e+00	5.003344e-01	3.971823e+02	9.931311e-01
5.300000e+03	1.000372e+00	5.000617e-01	3.972111e+02	-6.412094e-01
5.400000e+03	1.000089e+00	5.000663e-01	3.971001e+02	-6.133540e-02
5.500000e+03	1.000034e+00	5.000781e-01	3.970784e+02	7.303410e-01
5.600000e+03	1.000320e+00	5.000480e-01	3.971909e+02	-9.999850e-01
5.700000e+03	1.000359e+00	5.002732e-01	3.972051e+02	7.228219e-01
5.800000e+03	1.000081e+00	5.000153e-01	3.970936e+02	-5.040874e-02
5.900000e+03	1.000071e+00	5.000011e-01	3.970898e+02	-6.495687e-01
6.000000e+03	1.000351e+00	5.002489e-01	3.972017e+02	9.943521e-01
6.100000e+03	1.000330e+00	5.001156e-01	3.971951e+02	-7.954085e-01
6.200000e+03	1.000042e+00	4.999944e-01	3.970816e+02	1.615234e-01
6.300000e+03	1.000078e+00	5.001337e-01	3.970958e+02	5.606851e-01
6.400000e+03	1.000364e+00	5.000429e-01	3.972083e+02	-9.763025e-01
6.500000e+03	1.000314e+00	5.002742e-01	3.971868e+02	8.580627e-01
6.600000e+03	1.000042e+00	4.999850e-01	3.970781e+02	-2.706211e-01
6.700000e+03	1.000121e+00	5.000102e-01	3.971095e+02	-4.648002e-01
6.800000e+03	1.000384e+00	5.003181e-01	3.972154e+02	9.460617e-01
6.900000e+03	1.000276e+00	4.999973e-01	3.971739e+02	-9.100022e-01
7.000000e+03	1.000011e+00	5.000997e-01	3.970692e+02	3.763396e-01
7.100000e+03	1.000134e+00	5.000237e-01	3.971179e+02	3.631113e-01
7.200000e+03	1.000392e+00	5.001979e-01	3.972192e+02	-9.040073e-01
7.300000e+03	1.000257e+00	5.001114e-01	3.971643e+02	9.505784e-01
7.400000e+03	1.000020e+00	5.001092e-01	3.970694e+02	-4.773586e-01
7.500000e+03	1.000179e+00	4.998945e-01	3.971328e+02	-2.568881e-01
7.600000e+03	1.000400e+00	5.004885e-01	3.972220e+02	8.506645e-01
7.700000e+03	1.000215e+00	4.997816e-01	3.971497e+02	-9.792845e-01
7.800000e+03	9.999979e-01	5.002920e-01	3.970642e+02	5.724168e-01
7.900000e+03	1.000196e+00	4.998562e-01	3.971425e+02	1.474572e-01
8.000000e+03	1.000401e+00	5.003860e-01	3.972225e+02	-7.866993e-01
8.100000e+03	1.000196e+00	4.999253e-01	3.971398e+02	9.957623e-01
8.200000e+03	1.000018e+00	5.002392e-01	3.970683e+02	-6.603280e-01
8.300000e+03	1.000240e+00	4.998103e-01	3.971573e+02	-3.617038e-02
8.400000e+03	1.000397e+00	5.005924e-01	3.972209e+02	7.128909e-01
