t	N	x	E	sin(t)
1.000000e+02	1.000003e+00	4.786132e-01	7.884756e+01	9.008578e-01
2.000000e+02	1.000013e+00	5.250242e-01	7.885149e+01	-7.821505e-01
3.000000e+02	1.000022e+00	4.879585e-01	7.885419e+01	-2.217728e-01
4.000000e+02	1.000024e+00	5.002440e-01	7.885462e+01	9.747000e-01
5.000000e+02	1.000022e+00	4.967563e-01	7.886476e+01	-6.244876e-01
6.000000e+02	1.000018e+00	5.152074e-01	7.885839e+01	-4.325032e-01
7.000000e+02	1.000017e+00	4.821895e-01	7.883753e+01	9.999984e-01
8.000000e+02	1.000021e+00	5.018292e-01	7.885273e+01	-4.357221e-01
9.000000e+02	1.000025e+00	5.210689e-01	7.886303e+01	-6.216929e-01
1.000000e+03	1.000022e+00	4.695059e-01	7.884871e+01	9.754924e-01
1.100000e+03	1.000012e+00	5.193820e-01	7.883920e+01	-2.252556e-01
1.200000e+03	1.000003e+00	4.988326e-01	7.885134e+01	-7.799195e-01
1.300000e+03	9.999988e-01	4.947701e-01	7.887104e+01	9.024025e-01
1.400000e+03	1.000002e+00	4.969238e-01	7.886412e+01	-3.570341e-03
1.500000e+03	1.000012e+00	5.111157e-01	7.883119e+01	-8.993026e-01
1.600000e+03	1.000022e+00	4.967161e-01	7.884857e+01	7.843688e-01
1.700000e+03	1.000024e+00	4.830691e-01	7.887793e+01	2.182927e-01
1.800000e+03	1.000022e+00	5.306482e-01	7.885233e+01	-9.738964e-01
1.900000e+03	1.000017e+00	4.761425e-01	7.882384e+01	6.272700e-01
2.000000e+03	1.000018e+00	5.029645e-01	7.884732e+01	4.292838e-01
2.100000e+03	1.000021e+00	5.116571e-01	7.887837e+01	-9.999856e-01
2.200000e+03	1.000024e+00	4.911240e-01	7.886858e+01	4.389426e-01
2.300000e+03	1.000023e+00	4.974677e-01	7.882698e+01	6.188769e-01
2.400000e+03	1.000013e+00	5.040872e-01	7.884164e+01	-9.762780e-01
2.500000e+03	1.000002e+00	5.099890e-01	7.888838e+01	2.287695e-01
2.600000e+03	9.999991e-01	4.744851e-01	7.886207e+01	7.776506e-01
2.700000e+03	1.000002e+00	5.247344e-01	7.881140e+01	-9.039590e-01
2.800000e+03	1.000012e+00	4.946309e-01	7.884021e+01	7.205310e-03
2.900000e+03	1.000021e+00	4.853487e-01	7.888577e+01	8.977030e-01
3.000000e+03	1.000025e+00	5.182787e-01	7.887021e+01	-7.866295e-01
3.100000e+03	1.000022e+00	4.937993e-01	7.882109e+01	-2.147176e-01
3.200000e+03	1.000017e+00	4.961233e-01	7.883436e+01	9.730565e-01
3.300000e+03	1.000017e+00	4.982576e-01	7.889506e+01	-6.301317e-01
3.400000e+03	1.000022e+00	5.164180e-01	7.887697e+01	-4.259492e-01
3.500000e+03	1.000024e+00	4.779937e-01	7.880678e+01	9.999590e-01
3.600000e+03	1.000022e+00	5.081281e-01	7.883109e+01	-4.422580e-01
3.700000e+03	1.000013e+00	5.136215e-01	7.889314e+01	-6.159717e-01
3.800000e+03	1.000004e+00	4.767585e-01	7.887253e+01	9.770710e-01
3.900000e+03	9.999975e-01	5.136008e-01	7.881297e+01	-2.323632e-01
4.000000e+03	1.000002e+00	5.024564e-01	7.882681e+01	-7.753234e-01
4.100000e+03	1.000013e+00	4.941864e-01	7.889647e+01	9.055321e-01
4.200000e+03	1.000021e+00	4.945707e-01	7.888886e+01	-1.089835e-02
4.300000e+03	1.000024e+00	5.164388e-01	7.880705e+01	-8.960697e-01
4.400000e+03	1.000022e+00	4.893134e-01	7.881996e+01	7.889044e-01
4.500000e+03	1.000018e+00	4.912076e-01	7.889900e+01	2.111091e-01
4.600000e+03	1.000018e+00	5.230674e-01	7.888104e+01	-9.721984e-01
4.700000e+03	1.000020e+00	4.815852e-01	7.880783e+01	6.329951e-01
4.800000e+03	1.000025e+00	5.002849e-01	7.882093e+01	4.226049e-01
4.900000e+03	1.000022e+00	5.109322e-01	7.889596e+01	-9.999188e-01
5.000000e+03	1.000013e+00	4.950376e-01	7.889531e+01	4.455674e-01
5.100000e+03	1.000004e+00	4.908088e-01	7.880982e+01	6.130581e-01
5.200000e+03	9.999983e-01	5.125612e-01	7.880874e+01	-9.778507e-01
5.300000e+03	1.000002e+00	5.013475e-01	7.889968e+01	2.359537e-01
5.400000e+03	1.000012e+00	4.819601e-01	7.889291e+01	7.729856e-01
5.500000e+03	1.000021e+00	5.200834e-01	7.880543e+01	-9.070928e-01
5.600000e+03	1.000025e+00	4.958620e-01	7.881308e+01	1.459124e-02
