t	N	x	E	sin(t)
1.000010e+01	1.000002e+00	4.693621e-01	5.081451e+00	9.621333e-01
2.000020e+01	1.000011e+00	5.038295e-01	5.047601e+00	5.245152e-01
3.000030e+01	1.000016e+00	4.955898e-01	4.950563e+00	-6.761894e-01
4.000040e+01	1.000014e+00	5.407383e-01	5.107946e+00	-8.931456e-01
5.000050e+01	1.000006e+00	4.785893e-01	4.991209e+00	1.892834e-01
6.000060e+01	9.999987e-01	4.877004e-01	4.983310e+00	9.963351e-01
7.000070e+01	9.999996e-01	4.898714e-01	5.124886e+00	3.538772e-01
8.000080e+01	1.000007e+00	5.116945e-01	4.946622e+00	-8.034159e-01
9.000090e+01	1.000015e+00	5.325006e-01	5.030529e+00	-7.918663e-01
1.000010e+02	1.000016e+00	4.722217e-01	5.093830e+00	3.717232e-01
1.100011e+02	1.000009e+00	4.977730e-01	4.932856e+00	9.945144e-01
1.200012e+02	1.000001e+00	4.779497e-01	5.091271e+00	1.704448e-01
1.300013e+02	9.999974e-01	5.328939e-01	5.035944e+00	-9.015949e-01
1.400014e+02	1.000003e+00	5.110905e-01	4.943713e+00	-6.619570e-01
1.500015e+02	1.000011e+00	4.829222e-01	5.119912e+00	5.407234e-01
1.600016e+02	1.000016e+00	4.908912e-01	4.991966e+00	9.567370e-01
1.700017e+02	1.000012e+00	4.819725e-01	4.986555e+00	-1.915002e-02
1.800018e+02	1.000004e+00	5.426898e-01	5.107450e+00	-9.671768e-01
1.900019e+02	9.999981e-01	4.926108e-01	4.955245e+00	-5.081147e-01
2.000020e+02	9.999998e-01	4.981223e-01	5.038411e+00	6.901737e-01
2.100021e+02	1.000009e+00	4.737041e-01	5.090013e+00	8.843688e-01
2.200022e+02	1.000015e+00	5.020590e-01	4.934513e+00	-2.080525e-01
2.300023e+02	1.000015e+00	5.338779e-01	5.073519e+00	-9.977904e-01
2.400024e+02	1.000008e+00	4.902364e-01	5.055681e+00	-3.359015e-01
2.500025e+02	9.999997e-01	5.017784e-01	4.945920e+00	8.146708e-01
2.600026e+02	9.999987e-01	4.624702e-01	5.108895e+00	7.800263e-01
2.700027e+02	1.000005e+00	5.243035e-01	4.995573e+00	-3.894328e-01
2.800028e+02	1.000013e+00	5.146745e-01	4.975623e+00	-9.923289e-01
2.900029e+02	1.000016e+00	5.027910e-01	5.128146e+00	-1.515439e-01
3.000030e+02	1.000011e+00	4.884043e-01	4.950447e+00	9.097135e-01
3.100031e+02	1.000003e+00	4.689579e-01	5.025794e+00	6.474820e-01
3.200032e+02	9.999973e-01	5.328132e-01	5.095224e+00	-5.567330e-01
3.300033e+02	1.000001e+00	5.015923e-01	4.933800e+00	-9.509899e-01
3.400034e+02	1.000009e+00	5.158223e-01	5.087319e+00	3.829271e-02
3.500035e+02	1.000016e+00	4.678275e-01	5.042471e+00	9.718655e-01
3.600036e+02	1.000014e+00	4.901151e-01	4.941537e+00	4.915281e-01
3.700037e+02	1.000006e+00	5.234271e-01	5.113582e+00	-7.039047e-01
3.800038e+02	9.999990e-01	5.051989e-01	5.001092e+00	-8.752678e-01
3.900039e+02	9.999984e-01	5.143420e-01	4.981369e+00	2.267448e-01
4.000040e+02	1.000006e+00	4.566826e-01	5.107859e+00	9.988797e-01
4.100041e+02	1.000014e+00	5.105387e-01	4.959891e+00	3.178031e-01
4.200042e+02	1.000016e+00	5.071473e-01	5.028640e+00	-8.256266e-01
