t	N	x	E	sin(t)
1.000010e+01	1.000002e+00	5.138093e-01	4.959936e+00	-8.974947e-01
2.000020e+01	1.000011e+00	4.985077e-01	5.048123e+00	7.916356e-01
3.000030e+01	1.000016e+00	4.687746e-01	5.145502e+00	1.992321e-01
4.000040e+01	1.000014e+00	5.520928e-01	5.199161e+00	-9.673684e-01
5.000050e+01	1.000004e+00	4.624598e-01	5.232072e+00	6.540357e-01
6.000060e+01	9.999985e-01	4.986119e-01	5.200595e+00	3.904759e-01
7.000070e+01	9.999996e-01	5.303385e-01	5.097044e+00	-9.984552e-01
8.000080e+01	1.000008e+00	4.725108e-01	5.007582e+00	4.902119e-01
9.000090e+01	1.000015e+00	5.060745e-01	4.948772e+00	5.660635e-01
1.000010e+02	1.000015e+00	5.021165e-01	4.937430e+00	-9.895085e-01
1.100011e+02	1.000008e+00	5.157255e-01	4.994938e+00	3.067329e-01
1.200012e+02	1.000000e+00	4.620670e-01	5.072917e+00	7.189546e-01
1.300013e+02	9.999977e-01	5.336151e-01	5.165676e+00	-9.408871e-01
1.400014e+02	1.000006e+00	5.015159e-01	5.238899e+00	1.109554e-01
1.500015e+02	1.000013e+00	4.609689e-01	5.218870e+00	8.430189e-01
1.600016e+02	1.000017e+00	5.471741e-01	5.151871e+00	-8.545406e-01
1.700017e+02	1.000010e+00	4.764141e-01	5.075531e+00	-8.927094e-02
1.800018e+02	1.000002e+00	4.970640e-01	4.981921e+00	9.332821e-01
1.900019e+02	9.999976e-01	5.048872e-01	4.934528e+00	-7.339310e-01
2.000020e+02	1.000002e+00	5.131874e-01	4.950536e+00	-2.859179e-01
2.100021e+02	1.000011e+00	4.790186e-01	5.014223e+00	9.861250e-01
2.200022e+02	1.000016e+00	4.990339e-01	5.123861e+00	-5.838941e-01
2.300023e+02	1.000013e+00	5.373732e-01	5.200339e+00	-4.711009e-01
2.400024e+02	1.000005e+00	4.461623e-01	5.218712e+00	9.994289e-01
2.500025e+02	9.999980e-01	5.338234e-01	5.210693e+00	-4.104458e-01
2.600026e+02	1.000000e+00	5.038063e-01	5.135985e+00	-6.373950e-01
2.700027e+02	1.000008e+00	4.753564e-01	5.025741e+00	9.726604e-01
2.800028e+02	1.000015e+00	5.153172e-01	4.957936e+00	-2.205406e-01
2.900029e+02	1.000015e+00	5.030926e-01	4.933389e+00	-7.781324e-01
3.000030e+02	1.000007e+00	4.993038e-01	4.973092e+00	9.068927e-01
3.100031e+02	1.000000e+00	4.748757e-01	5.060787e+00	-2.179285e-02
3.200032e+02	9.999977e-01	5.459486e-01	5.139209e+00	-8.876703e-01
3.300033e+02	1.000006e+00	4.655268e-01	5.215743e+00	8.047630e-01
3.400034e+02	1.000013e+00	4.955435e-01	5.241834e+00	1.778287e-01
3.500035e+02	1.000017e+00	5.380516e-01	5.174362e+00	-9.616169e-01
3.600036e+02	1.000010e+00	4.606508e-01	5.087531e+00	6.703660e-01
3.700037e+02	1.000002e+00	5.150909e-01	5.006686e+00	3.703202e-01
3.800038e+02	9.999977e-01	5.030409e-01	4.940943e+00	-9.970071e-01
3.900039e+02	1.000002e+00	5.052135e-01	4.943368e+00	5.090905e-01
4.000040e+02	1.000011e+00	4.745540e-01	4.995311e+00	5.479636e-01
4.100041e+02	1.000016e+00	5.260711e-01	5.085155e+00	-9.924221e-01
