t	N	x	E	sin(t)
1.000010e+01	1.000001e+00	5.135798e-01	4.960041e+00	3.252607e-01
2.000020e+01	1.000008e+00	4.740125e-01	5.029960e+00	-6.151489e-01
3.000030e+01	1.000015e+00	5.362315e-01	5.125176e+00	8.381389e-01
4.000040e+01	1.000015e+00	4.564636e-01	5.219934e+00	-9.699802e-01
5.000050e+01	1.000011e+00	5.475640e-01	5.288851e+00	9.963351e-01
6.000060e+01	1.000004e+00	4.518501e-01	5.313627e+00	-9.143373e-01
7.000070e+01	9.999975e-01	5.454498e-01	5.287892e+00	7.329042e-01
8.000080e+01	9.999996e-01	4.601781e-01	5.218806e+00	-4.717669e-01
9.000090e+01	1.000006e+00	5.318662e-01	5.124844e+00	1.593244e-01
1.000010e+02	1.000013e+00	4.776115e-01	5.030825e+00	1.704448e-01
1.100011e+02	1.000017e+00	5.123900e-01	4.961190e+00	-4.816780e-01
1.200012e+02	1.000013e+00	4.971748e-01	4.933519e+00	7.405281e-01
1.300013e+02	1.000006e+00	4.946681e-01	4.954139e+00	-9.188449e-01
1.400014e+02	9.999990e-01	5.114634e-01	5.016750e+00	9.972361e-01
1.500015e+02	9.999982e-01	4.847522e-01	5.104430e+00	-9.671768e-01
1.600016e+02	1.000003e+00	5.166943e-01	5.194130e+00	8.319358e-01
1.700017e+02	1.000010e+00	4.839259e-01	5.262654e+00	-6.062208e-01
1.800018e+02	1.000016e+00	5.138780e-01	5.292534e+00	3.145785e-01
1.900019e+02	1.000015e+00	4.893683e-01	5.276260e+00	1.127455e-02
2.000020e+02	1.000008e+00	5.070273e-01	5.218179e+00	-3.359015e-01
2.100021e+02	1.000001e+00	4.963190e-01	5.133276e+00	6.239987e-01
2.200022e+02	9.999977e-01	5.012830e-01	5.043221e+00	-8.442354e-01
2.300023e+02	1.000001e+00	4.995774e-01	4.970957e+00	9.726604e-01
2.400024e+02	1.000008e+00	5.014623e-01	4.934928e+00	-9.953074e-01
2.500025e+02	1.000015e+00	4.955724e-01	4.944512e+00	9.097135e-01
2.600026e+02	1.000016e+00	5.090674e-01	4.997654e+00	-7.251872e-01
2.700027e+02	1.000011e+00	4.852738e-01	5.081219e+00	4.617959e-01
2.800028e+02	1.000004e+00	5.206731e-01	5.174135e+00	-1.481837e-01
2.900029e+02	9.999984e-01	4.739455e-01	5.252565e+00	-1.815437e-01
3.000030e+02	9.999985e-01	5.301322e-01	5.296102e+00	4.915280e-01
3.100031e+02	1.000006e+00	4.677124e-01	5.293177e+00	-7.480580e-01
3.200032e+02	1.000013e+00	5.320299e-01	5.244153e+00	9.232357e-01
3.300033e+02	1.000016e+00	4.710143e-01	5.161561e+00	-9.980104e-01
3.400034e+02	1.000014e+00	5.231094e-01	5.066986e+00	9.642503e-01
3.500035e+02	1.000006e+00	4.854744e-01	4.985533e+00	-8.256268e-01
3.600036e+02	9.999993e-01	5.037780e-01	4.939330e+00	5.972153e-01
3.700037e+02	9.999979e-01	5.083166e-01	4.941427e+00	-3.038559e-01
3.800038e+02	1.000003e+00	4.793015e-01	4.992074e+00	-2.254821e-02
3.900039e+02	1.000011e+00	5.322376e-01	5.078341e+00	3.465001e-01
4.000040e+02	1.000015e+00	4.581241e-01	5.177477e+00	-6.327698e-01
4.100041e+02	1.000016e+00	5.488383e-01	5.263051e+00	8.502249e-01
4.200042e+02	1.000009e+00	4.475069e-01	5.312069e+00	-9.752170e-01
4.300043e+02	1.000001e+00	5.525970e-01	5.311352e+00	9.941531e-01
4.400044e+02	9.999985e-01	4.508911e-01	5.261064e+00	-9.049738e-01
4.500045e+02	1.000000e+00	5.422525e-01	5.174657e+00	7.173774e-01
4.600046e+02	1.000008e+00	4.674835e-01	5.075360e+00	-4.517654e-01
4.700047e+02	1.000015e+00	5.206971e-01	4.989763e+00	1.370233e-01
4.800048e+02	1.000016e+00	4.922194e-01	4.940611e+00	1.926202e-01
4.900049e+02	1.000011e+00	4.949821e-01	4.940635e+00	-5.013160e-01
5.000050e+02	1.000003e+00	5.166415e-01	4.989186e+00	7.554931e-01
5.100051e+02	9.999987e-01	4.738610e-01	5.072665e+00	-9.275094e-01
5.200052e+02	9.999988e-01	5.328959e-01	5.168357e+00	9.986579e-01
5.300053e+02	1.000005e+00	4.633538e-01	5.250724e+00	-9.612011e-01
5.400054e+02	1.000013e+00	5.374276e-01	5.298110e+00	8.192125e-01
5.500055e+02	1.000016e+00	4.645485e-01	5.298307e+00	-5.881335e-01
5.600056e+02	1.000013e+00	5.312056e-01	5.251669e+00	2.930943e-01
5.700057e+02	1.000007e+00	4.747533e-01	5.170680e+00	3.381930e-02
5.800058e+02	9.999990e-01	5.183861e-01	5.076528e+00	-3.570550e-01
5.900059e+02	9.999980e-01	4.885305e-01	4.993482e+00	6.414605e-01
6.000060e+02	1.000003e+00	5.053385e-01	4.942512e+00	-8.561064e-01
6.100061e+02	1.000011e+00	4.992962e-01	4.936098e+00	9.776497e-01
6.200062e+02	1.000016e+00	4.980306e-01	4.975262e+00	-9.928724e-01
6.300063e+02	1.000015e+00	5.026519e-01	5.049568e+00	9.001189e-01
6.400064e+02	1.000009e+00	4.984735e-01	5.139849e+00	-7.094764e-01
6.500065e+02	1.000001e+00	4.991139e-01	5.223021e+00	4.416775e-01
6.600066e+02	9.999978e-01	5.040000e-01	5.277902e+00	-1.258456e-01
6.700067e+02	1.000001e+00	4.928443e-01	5.290439e+00	-2.036722e-01
6.800068e+02	1.000007e+00	5.097086e-01	5.257314e+00	5.110404e-01
6.900069e+02	1.000015e+00	4.889471e-01	5.186911e+00	-7.628322e-01
7.000070e+02	1.000016e+00	5.107141e-01	5.097155e+00	9.316652e-01
7.100071e+02	1.000011e+00	4.917577e-01	5.011122e+00	-9.991784e-01
7.200072e+02	1.000004e+00	5.035498e-01	4.951250e+00	9.580297e-01
7.300073e+02	9.999982e-01	5.031964e-01	4.933573e+00	-8.126941e-01
7.400074e+02	9.999990e-01	4.885455e-01	4.963517e+00	5.789770e-01
7.500075e+02	1.000005e+00	5.204116e-01	5.034174e+00	-2.822954e-01
7.600076e+02	1.000013e+00	4.709003e-01	5.127806e+00	-4.508609e-02
7.700077e+02	1.000017e+00	5.365968e-01	5.220220e+00	3.675645e-01
