t	N	x	E	sin(t)
1.000010e+01	1.000002e+00	4.948660e-01	5.140948e+00	-4.898828e-01
2.000020e+01	1.000008e+00	4.731880e-01	5.049285e+00	-8.541481e-01
3.000030e+01	1.000015e+00	4.930317e-01	4.988400e+00	-9.993900e-01
4.000040e+01	1.000015e+00	4.649928e-01	5.181770e+00	-8.883649e-01
5.000050e+01	1.000011e+00	5.085398e-01	4.945221e+00	-5.495424e-01
6.000060e+01	1.000003e+00	4.768651e-01	5.094489e+00	-6.980433e-02
7.000070e+01	9.999976e-01	5.313145e-01	5.100219e+00	4.278332e-01
8.000080e+01	9.999997e-01	4.942869e-01	4.945197e+00	8.157643e-01
9.000090e+01	1.000007e+00	5.414539e-01	5.187050e+00	9.945144e-01
1.000010e+02	1.000014e+00	4.995808e-01	4.984325e+00	9.182478e-01
1.100011e+02	1.000017e+00	5.286925e-01	5.046960e+00	6.065210e-01
1.200012e+02	1.000012e+00	4.902419e-01	5.138810e+00	1.392681e-01
1.300013e+02	1.000004e+00	5.008298e-01	4.934203e+00	-3.636964e-01
1.400014e+02	9.999986e-01	4.806616e-01	5.147521e+00	-7.734006e-01
1.500015e+02	9.999989e-01	4.787421e-01	5.047758e+00	-9.847869e-01
1.600016e+02	1.000005e+00	4.865480e-01	4.991725e+00	-9.436509e-01
1.700017e+02	1.000012e+00	4.762603e-01	5.173756e+00	-6.605407e-01
1.800018e+02	1.000016e+00	5.101483e-01	4.946546e+00	-2.080525e-01
1.900019e+02	1.000014e+00	4.882710e-01	5.092129e+00	2.977852e-01
2.000020e+02	1.000006e+00	5.351598e-01	5.106106e+00	7.272639e-01
2.100021e+02	9.999994e-01	4.979397e-01	4.946624e+00	9.702551e-01
2.200022e+02	9.999976e-01	5.421630e-01	5.186845e+00	9.644503e-01
2.300023e+02	1.000003e+00	4.922712e-01	4.981491e+00	7.113379e-01
2.400024e+02	1.000011e+00	5.265903e-01	5.042182e+00	2.758219e-01
2.500025e+02	1.000016e+00	4.767118e-01	5.142095e+00	-2.304213e-01
2.600026e+02	1.000015e+00	5.015290e-01	4.933686e+00	-6.775791e-01
2.700027e+02	1.000008e+00	4.691230e-01	5.155188e+00	-9.509898e-01
2.800028e+02	1.000001e+00	4.872196e-01	5.043014e+00	-9.805445e-01
2.900029e+02	9.999980e-01	4.818928e-01	4.992703e+00	-7.586646e-01
3.000030e+02	1.000001e+00	4.908021e-01	5.167230e+00	-3.422454e-01
3.100031e+02	1.000009e+00	5.103283e-01	4.948353e+00	1.619335e-01
3.200032e+02	1.000015e+00	5.013146e-01	5.094573e+00	6.245889e-01
3.300033e+02	1.000016e+00	5.341463e-01	5.108814e+00	9.270851e-01
3.400034e+02	1.000010e+00	5.019294e-01	4.948846e+00	9.918550e-01
3.500035e+02	1.000001e+00	5.370543e-01	5.181338e+00	8.022901e-01
3.600036e+02	9.999979e-01	4.860776e-01	4.981256e+00	4.069992e-01
3.700037e+02	1.000000e+00	5.207932e-01	5.037696e+00	-9.265574e-02
3.800038e+02	1.000008e+00	4.664059e-01	5.148901e+00	-5.685516e-01
3.900039e+02	1.000014e+00	5.019806e-01	4.933126e+00	-8.986575e-01
4.000040e+02	1.000016e+00	4.618364e-01	5.159984e+00	-9.983267e-01
4.100041e+02	1.000012e+00	4.974382e-01	5.037376e+00	-8.420015e-01
4.200042e+02	1.000004e+00	4.797321e-01	4.990985e+00	-4.697675e-01
4.300043e+02	9.999983e-01	5.066125e-01	5.165630e+00	2.292594e-02
4.400044e+02	9.999990e-01	5.090809e-01	4.949597e+00	5.097406e-01
4.500045e+02	1.000005e+00	5.141954e-01	5.100720e+00	8.658458e-01
4.600046e+02	1.000014e+00	5.284119e-01	5.106703e+00	9.999280e-01
4.700047e+02	1.000016e+00	5.056982e-01	4.950752e+00	8.776052e-01
4.800048e+02	1.000013e+00	5.268272e-01	5.173496e+00	5.302439e-01
4.900049e+02	1.000005e+00	4.818487e-01	4.983579e+00	4.691570e-02
5.000050e+02	9.999986e-01	5.121059e-01	5.036115e+00	-4.484428e-01
5.100051e+02	9.999989e-01	4.607473e-01	5.155491e+00	-8.288101e-01
5.200052e+02	1.000004e+00	5.021113e-01	4.932840e+00	-9.966511e-01
