t	N	x	E	sin(t)
3.000010e+01	1.000014e+00	5.045538e-01	4.936447e+00	-8.695584e-02
6.000020e+01	1.000007e+00	4.911280e-01	4.942429e+00	1.732529e-01
9.000030e+01	1.000001e+00	5.127626e-01	4.952432e+00	-2.582375e-01
1.200004e+02	1.000016e+00	4.839912e-01	4.966545e+00	3.412658e-01
1.500005e+02	9.999998e-01	5.184599e-01	4.984666e+00	-4.217088e-01
1.800006e+02	1.000008e+00	4.800725e-01	5.006950e+00	4.989570e-01
2.100007e+02	1.000013e+00	5.203183e-01	5.033334e+00	-5.724253e-01
2.400008e+02	9.999981e-01	4.804876e-01	5.063751e+00	6.415571e-01
2.700009e+02	1.000014e+00	5.174989e-01	5.098255e+00	-7.058286e-01
3.000010e+02	1.000005e+00	4.857662e-01	5.136577e+00	7.647530e-01
3.300011e+02	1.000001e+00	5.097685e-01	5.178613e+00	-8.178839e-01
3.600012e+02	1.000016e+00	4.958254e-01	5.224153e+00	8.648187e-01
3.900013e+02	9.999997e-01	4.975897e-01	5.272744e+00	-9.052021e-01
4.200014e+02	1.000010e+00	5.098840e-01	5.324124e+00	9.387279e-01
4.500015e+02	1.000012e+00	4.819725e-01	5.377761e+00	-9.651422e-01
4.800016e+02	9.999980e-01	5.266575e-01	5.433131e+00	9.842450e-01
5.100017e+02	1.000014e+00	4.644828e-01	5.489795e+00	-9.958915e-01
5.400018e+02	1.000003e+00	5.444036e-01	5.547028e+00	9.999935e-01
5.700019e+02	1.000003e+00	4.469616e-01	5.604327e+00	-9.965198e-01
6.000020e+02	1.000016e+00	5.611655e-01	5.661119e+00	9.854969e-01
6.300021e+02	9.999998e-01	4.314764e-01	5.716721e+00	-9.670083e-01
6.600022e+02	1.000011e+00	5.749341e-01	5.770722e+00	9.411939e-01
6.900023e+02	1.000010e+00	4.198681e-01	5.822550e+00	-9.082493e-01
7.200024e+02	9.999978e-01	5.839552e-01	5.871807e+00	8.684242e-01
7.500025e+02	1.000014e+00	4.137554e-01	5.918247e+00	-8.220202e-01
7.800026e+02	1.000003e+00	5.869213e-01	5.961447e+00	7.693889e-01
8.100027e+02	1.000005e+00	4.141295e-01	6.001302e+00	-7.109289e-01
8.400028e+02	1.000016e+00	5.830703e-01	6.037693e+00	6.470832e-01
8.700029e+02	9.999993e-01	4.214706e-01	6.070469e+00	-5.783355e-01
9.000030e+02	1.000012e+00	5.723524e-01	6.099734e+00	5.052064e-01
9.300031e+02	1.000008e+00	4.354191e-01	6.125427e+00	-4.282501e-01
9.600032e+02	9.999984e-01	5.553882e-01	6.147665e+00	3.480496e-01
9.900033e+02	1.000015e+00	4.550370e-01	6.166598e+00	-2.652123e-01
1.020003e+03	1.000003e+00	5.335442e-01	6.182131e+00	1.803659e-01
1.050003e+03	1.000007e+00	4.786798e-01	6.194431e+00	-9.415309e-02
1.080004e+03	1.000015e+00	5.085848e-01	6.203527e+00	7.227013e-03
1.110004e+03	9.999980e-01	5.043866e-01	6.209345e+00	7.975381e-02
1.140004e+03	1.000012e+00	4.827128e-01	6.211955e+00	-1.661305e-01
1.170004e+03	1.000006e+00	5.298893e-01	6.211183e+00	2.512485e-01
1.200004e+03	1.000000e+00	4.581258e-01	6.206995e+00	-3.344633e-01
1.230004e+03	1.000017e+00	5.529809e-01	6.199293e+00	4.151442e-01
1.260004e+03	1.000002e+00	4.370410e-01	6.187774e+00	-4.926802e-01
1.290004e+03	1.000008e+00	5.716530e-01	6.172420e+00	5.664838e-01
1.320004e+03	1.000013e+00	4.211583e-01	6.153063e+00	-6.359959e-01
1.350004e+03	9.999970e-01	5.843968e-01	6.129546e+00	7.006899e-01
1.380005e+03	1.000013e+00	4.117765e-01	6.101912e+00	-7.600758e-01
1.410005e+03	1.000006e+00	5.903134e-01	6.070034e+00	8.137036e-01
1.440005e+03	1.000002e+00	4.093951e-01	6.034045e+00	-8.611670e-01
1.470005e+03	1.000017e+00	5.891587e-01	5.994099e+00	9.021066e-01
1.500005e+03	1.000001e+00	4.139513e-01	5.950282e+00	-9.362121e-01
1.530005e+03	1.000009e+00	5.814370e-01	5.903033e+00	9.632252e-01
1.560005e+03	1.000011e+00	4.245616e-01	5.852676e+00	-9.829413e-01
1.590005e+03	9.999972e-01	5.682642e-01	5.799645e+00	9.952110e-01
1.620005e+03	1.000014e+00	4.398615e-01	5.744550e+00	-9.999412e-01
1.650005e+03	1.000005e+00	5.513286e-01	5.687810e+00	9.970963e-01
1.680006e+03	1.000004e+00	4.579746e-01	5.630111e+00	-9.866978e-01
1.710006e+03	1.000016e+00	5.325273e-01	5.572071e+00	9.688243e-01
1.740006e+03	9.999988e-01	4.769249e-01	5.514179e+00	-9.436114e-01
1.770006e+03	1.000009e+00	5.139347e-01	5.457163e+00	9.112500e-01
1.800006e+03	1.000010e+00	4.946973e-01	5.401495e+00	-8.719854e-01
1.830006e+03	9.999982e-01	4.974154e-01	5.347675e+00	8.261148e-01
1.860006e+03	1.000016e+00	5.095534e-01	5.296234e+00	-7.739859e-01
1.890006e+03	1.000004e+00	4.845663e-01	5.247401e+00	7.159936e-01
1.920006e+03	1.000004e+00	5.201678e-01	5.201603e+00	-6.525772e-01
1.950006e+03	1.000015e+00	4.763624e-01	5.159088e+00	5.842170e-01
1.980007e+03	9.999978e-01	5.258378e-01	5.119938e+00	-5.114311e-01
2.010007e+03	1.000011e+00	4.732314e-01	5.084434e+00	4.347707e-01
2.040007e+03	1.000010e+00	5.265034e-01	5.052563e+00	-3.548167e-01
2.070007e+03	9.999991e-01	4.748986e-01	5.024394e+00	2.721739e-01
2.100007e+03	1.000016e+00	5.227105e-01	5.000045e+00	-1.874690e-01
2.130007e+03	1.000002e+00	4.805387e-01	4.979394e+00	1.013438e-01
2.160007e+03	1.000005e+00	5.155751e-01	4.962594e+00	-1.445083e-02
2.190007e+03	1.000015e+00	4.887850e-01	4.949655e+00	-7.255160e-02
2.220007e+03	9.999978e-01	5.066301e-01	4.940536e+00	1.590044e-01
2.250007e+03	1.000012e+00	4.979783e-01	4.935448e+00	-2.442526e-01
2.280008e+03	1.000009e+00	4.976277e-01	4.934343e+00	3.276504e-01
2.310008e+03	9.999995e-01	5.063623e-01	4.937341e+00	-4.085659e-01
2.340008e+03	1.000016e+00	4.902765e-01	4.944613e+00	4.863863e-01
2.370008e+03	1.000001e+00	5.123127e-01	4.956106e+00	-5.605218e-01
2.400008e+03	1.000006e+00	4.860560e-01	4.972018e+00	6.304110e-01
2.430008e+03	1.000014e+00	5.145263e-01	4.992345e+00	-6.955242e-01
