t	N	x	E	sin(t)
1.000010e+01	1.000002e+00	5.002640e-01	5.531500e+00	-1.500506e-01
2.000020e+01	1.000008e+00	4.795148e-01	4.988577e+00	-2.967036e-01
3.000030e+01	1.000015e+00	5.007408e-01	5.433560e+00	-4.366383e-01
4.000040e+01	1.000016e+00	4.609876e-01	5.132820e+00	-5.666859e-01
5.000050e+01	1.000011e+00	5.010041e-01	5.270421e+00	-6.839019e-01
6.000060e+01	1.000005e+00	4.460245e-01	5.318653e+00	-7.856320e-01
7.000070e+01	9.999984e-01	5.011973e-01	5.096742e+00	-8.695728e-01
8.000080e+01	9.999993e-01	4.358168e-01	5.483835e+00	-9.338235e-01
9.000090e+01	1.000004e+00	5.015473e-01	4.970552e+00	-9.769293e-01
1.000010e+02	1.000011e+00	4.309843e-01	5.573061e+00	-9.979141e-01
1.100011e+02	1.000016e+00	5.022733e-01	4.933923e+00	-9.963027e-01
1.200012e+02	1.000014e+00	4.318043e-01	5.556496e+00	-9.721317e-01
1.300013e+02	1.000009e+00	5.033623e-01	4.999030e+00	-9.259484e-01
1.400014e+02	1.000002e+00	4.382248e-01	5.439656e+00	-8.587984e-01
1.500015e+02	9.999978e-01	5.045805e-01	5.144224e+00	-7.722024e-01
1.600016e+02	1.000001e+00	4.499030e-01	5.261624e+00	-6.681211e-01
1.700017e+02	1.000007e+00	5.055730e-01	5.321107e+00	-5.489113e-01
1.800018e+02	1.000014e+00	4.660466e-01	5.082065e+00	-4.172723e-01
1.900019e+02	1.000016e+00	5.060452e-01	5.470565e+00	-2.761848e-01
2.000020e+02	1.000012e+00	4.853093e-01	4.961145e+00	-1.288435e-01
2.100021e+02	1.000006e+00	5.058658e-01	5.542445e+00	2.141514e-02
2.200022e+02	9.999987e-01	5.059357e-01	4.939485e+00	1.711889e-01
2.300023e+02	9.999981e-01	5.051995e-01	5.512735e+00	3.170864e-01
2.400024e+02	1.000003e+00	5.259552e-01	5.024390e+00	4.558040e-01
2.500025e+02	1.000010e+00	5.041883e-01	5.391435e+00	5.842006e-01
2.600026e+02	1.000016e+00	5.434813e-01	5.187277e+00	6.993690e-01
2.700027e+02	1.000015e+00	5.029425e-01	5.219134e+00	7.987013e-01
2.800028e+02	1.000009e+00	5.570552e-01	5.373378e+00	8.799483e-01
2.900029e+02	1.000002e+00	5.013263e-01	5.053427e+00	9.412703e-01
3.000030e+02	9.999970e-01	5.656797e-01	5.520395e+00	9.812787e-01
3.100031e+02	9.999999e-01	4.992551e-01	4.949690e+00	9.990677e-01
3.200032e+02	1.000007e+00	5.688993e-01	5.579193e+00	9.942344e-01
3.300033e+02	1.000014e+00	4.967070e-01	4.942567e+00	9.668882e-01
3.400034e+02	1.000017e+00	5.664643e-01	5.530079e+00	9.176485e-01
3.500035e+02	1.000012e+00	4.938981e-01	5.034415e+00	8.476300e-01
3.600036e+02	1.000005e+00	5.585177e-01	5.389385e+00	7.584184e-01
3.700037e+02	9.999990e-01	4.912835e-01	5.194677e+00	6.520335e-01
3.800038e+02	9.999976e-01	5.455198e-01	5.204244e+00	5.308845e-01
3.900039e+02	1.000004e+00	4.893530e-01	5.369916e+00	3.977144e-01
4.000040e+02	1.000011e+00	5.284495e-01	5.036760e+00	2.555387e-01
4.100041e+02	1.000016e+00	4.884354e-01	5.501505e+00	1.075767e-01
4.200042e+02	1.000015e+00	5.087584e-01	4.943037e+00	-4.282117e-02
4.300043e+02	1.000009e+00	4.885699e-01	5.545259e+00	-1.922494e-01
4.400044e+02	1.000002e+00	4.883098e-01	4.954520e+00	-3.373245e-01
4.500045e+02	9.999980e-01	4.896139e-01	5.486631e+00	-4.747614e-01
4.600046e+02	9.999999e-01	4.690828e-01	5.067336e+00	-6.014481e-01
4.700047e+02	1.000007e+00	4.914331e-01	5.345277e+00	-7.145159e-01
4.800048e+02	1.000013e+00	4.528178e-01	5.243524e+00	-8.114047e-01
4.900049e+02	1.000016e+00	4.939151e-01	5.168499e+00	-8.899206e-01
5.000050e+02	1.000013e+00	4.407616e-01	5.423934e+00	-9.482856e-01
5.100051e+02	1.000006e+00	4.971040e-01	5.015355e+00	-9.851783e-01
5.200052e+02	1.000000e+00	4.337584e-01	5.548178e+00	-9.997631e-01
5.300053e+02	9.999979e-01	5.009745e-01	4.937007e+00	-9.917099e-01
5.400054e+02	1.000003e+00	4.321792e-01	5.574716e+00	-9.612011e-01
5.500055e+02	1.000010e+00	5.053399e-01	4.959682e+00	-9.089274e-01
5.600056e+02	1.000015e+00	4.361843e-01	5.494685e+00	-8.360725e-01
5.700057e+02	1.000016e+00	5.097217e-01	5.075880e+00	-7.442861e-01
5.800058e+02	1.000010e+00	4.455132e-01	5.334767e+00	-6.356465e-01
5.900059e+02	1.000003e+00	5.134684e-01	5.246861e+00	-5.126138e-01
6.000060e+02	9.999985e-01	4.596223e-01	5.148509e+00	-3.779737e-01
6.100061e+02	9.999989e-01	5.160699e-01	5.415552e+00	-2.347750e-01
6.200062e+02	1.000006e+00	4.773762e-01	4.998416e+00	-8.626024e-02
6.300063e+02	1.000012e+00	5.171944e-01	5.525536e+00	6.420776e-02
6.400064e+02	1.000016e+00	4.971702e-01	4.934808e+00	2.132219e-01
6.500065e+02	1.000014e+00	5.168394e-01	5.539860e+00	3.574079e-01
6.600066e+02	1.000006e+00	5.170799e-01	4.978923e+00	4.935011e-01
6.700067e+02	1.000000e+00	5.151367e-01	5.453778e+00	6.184197e-01
6.800068e+02	9.999974e-01	5.352349e-01	5.115877e+00	7.293351e-01
6.900069e+02	1.000002e+00	5.122873e-01	5.296176e+00	8.237360e-01
7.000070e+02	1.000010e+00	5.500806e-01	5.299674e+00	8.994847e-01
7.100071e+02	1.000015e+00	5.083884e-01	5.119823e+00	9.548660e-01
7.200072e+02	1.000016e+00	5.605109e-01	5.468653e+00	9.886259e-01
7.300073e+02	1.000011e+00	5.034750e-01	4.983548e+00	9.999999e-01
7.400074e+02	1.000002e+00	5.658493e-01	5.566236e+00	9.887306e-01
7.500075e+02	9.999981e-01	4.977560e-01	4.932893e+00	9.550731e-01
7.600076e+02	9.999987e-01	5.658355e-01	5.559846e+00	8.997894e-01
7.700077e+02	1.000006e+00	4.916957e-01	4.984939e+00	8.241315e-01
7.800078e+02	1.000013e+00	5.603847e-01	5.451643e+00	7.298125e-01
7.900079e+02	1.000016e+00	4.859640e-01	5.122414e+00	6.189680e-01
8.000080e+02	1.000014e+00	5.498110e-01	5.277678e+00	4.941080e-01
8.100081e+02	1.000006e+00	4.813183e-01	5.299421e+00	3.580597e-01
8.200082e+02	9.999996e-01	5.348084e-01	5.096256e+00	2.139037e-01
8.300083e+02	9.999983e-01	4.783123e-01	5.456841e+00	6.490423e-02
8.400084e+02	1.000001e+00	5.166965e-01	4.968288e+00	-8.556490e-02
8.500085e+02	1.000010e+00	4.772760e-01	5.541970e+00	-2.340966e-01
8.600086e+02	1.000015e+00	4.971548e-01	4.936645e+00	-3.773275e-01
8.700087e+02	1.000015e+00	4.781131e-01	5.526216e+00	-5.120144e-01
8.800088e+02	1.000011e+00	4.780684e-01	5.011765e+00	-6.351076e-01
8.900089e+02	1.000003e+00	4.806806e-01	5.414934e+00	-7.438198e-01
9.000090e+02	9.999989e-01	4.612113e-01	5.168333e+00	-8.356894e-01
9.100091e+02	9.999995e-01	4.847769e-01	5.245414e+00	-9.086362e-01
9.200092e+02	1.000005e+00	4.479526e-01	5.353797e+00	-9.610083e-01
9.300093e+02	1.000013e+00	4.902934e-01	5.074370e+00	-9.916200e-01
9.400094e+02	1.000015e+00	4.392070e-01	5.506046e+00	-9.997781e-01
9.500095e+02	1.000014e+00	4.970053e-01	4.958884e+00	-9.852977e-01
9.600096e+02	1.000008e+00	4.354790e-01	5.574117e+00	-9.485069e-01
9.700097e+02	1.000000e+00	5.045009e-01	4.937588e+00	-8.902387e-01
9.800098e+02	9.999987e-01	4.370120e-01	5.535229e+00	-8.118125e-01
9.900099e+02	1.000001e+00	5.121104e-01	5.017796e+00	-7.150040e-01
