t	N	x	E	sin(t)
1.000010e+01	1.000002e+00	4.976403e-01	8.735673e+00	2.091604e-01
2.000020e+01	1.000005e+00	5.669958e-01	5.498355e+00	4.090680e-01
3.000030e+01	1.000012e+00	4.965835e-01	7.714078e+00	5.908797e-01
4.000040e+01	1.000017e+00	6.172284e-01	6.872178e+00	7.465524e-01
5.000050e+01	1.000016e+00	5.006945e-01	6.243268e+00	8.691996e-01
6.000060e+01	1.000013e+00	6.451178e-01	8.285057e+00	9.533958e-01
7.000070e+01	1.000007e+00	5.021852e-01	5.141983e+00	9.954164e-01
8.000080e+01	1.000001e+00	6.547840e-01	8.949811e+00	9.934024e-01
9.000090e+01	9.999980e-01	4.924924e-01	5.020332e+00	9.474430e-01
1.000010e+02	9.999974e-01	6.495335e-01	8.497152e+00	8.595713e-01
1.100011e+02	1.000003e+00	4.732823e-01	5.947416e+00	7.336744e-01
1.200012e+02	1.000009e+00	6.254802e-01	7.177486e+00	5.753218e-01
1.300013e+02	1.000013e+00	4.558020e-01	7.411427e+00	3.915186e-01
1.400014e+02	1.000017e+00	5.785057e-01	5.726468e+00	1.903956e-01
1.500015e+02	1.000014e+00	4.492712e-01	8.596738e+00	-1.915002e-02
1.600016e+02	1.000009e+00	5.146067e-01	4.957603e+00	-2.278485e-01
1.700017e+02	1.000006e+00	4.526003e-01	8.839661e+00	-4.264675e-01
1.800018e+02	9.999989e-01	4.505565e-01	5.301119e+00	-6.062208e-01
1.900019e+02	9.999992e-01	4.586659e-01	8.005421e+00	-7.591565e-01
2.000020e+02	1.000004e+00	4.022761e-01	6.560206e+00	-8.785092e-01
2.100021e+02	1.000005e+00	4.656704e-01	6.561911e+00	-9.589990e-01
2.200022e+02	1.000012e+00	3.742609e-01	8.028402e+00	-9.970653e-01
2.300023e+02	1.000016e+00	4.801975e-01	5.312356e+00	-9.910241e-01
2.400024e+02	1.000011e+00	3.618575e-01	8.888240e+00	-9.411427e-01
2.500025e+02	1.000010e+00	5.082048e-01	4.951022e+00	-8.496277e-01
2.600026e+02	1.000005e+00	3.622772e-01	8.661016e+00	-7.205274e-01
2.700027e+02	9.999982e-01	5.448699e-01	5.682973e+00	-5.595531e-01
2.800028e+02	1.000000e+00	3.799712e-01	7.470802e+00	-3.738256e-01
2.900029e+02	1.000002e+00	5.764198e-01	7.105649e+00	-1.715611e-01
3.000030e+02	1.000006e+00	4.194345e-01	5.981598e+00	3.829284e-02
3.100031e+02	1.000014e+00	5.921674e-01	8.425396e+00	2.464528e-01
3.200032e+02	1.000015e+00	4.747545e-01	5.027558e+00	4.437103e-01
3.300033e+02	1.000015e+00	5.926999e-01	8.903523e+00	6.213393e-01
3.400034e+02	1.000012e+00	5.299739e-01	5.140030e+00	7.714819e-01
3.500035e+02	1.000005e+00	5.846643e-01	8.274732e+00	8.874963e-01
3.600036e+02	1.000000e+00	5.708384e-01	6.250048e+00	9.642503e-01
3.700037e+02	9.999973e-01	5.699260e-01	6.892018e+00	9.983484e-01
3.800038e+02	9.999983e-01	5.946067e-01	7.735489e+00	9.882824e-01
3.900039e+02	1.000004e+00	5.427544e-01	5.524636e+00	9.344974e-01
4.000040e+02	1.000009e+00	6.069640e-01	8.770026e+00	8.393728e-01
4.100041e+02	1.000015e+00	4.994432e-01	4.934196e+00	7.071166e-01
4.200042e+02	1.000017e+00	6.104838e-01	8.776878e+00	5.435795e-01
4.300043e+02	1.000013e+00	4.475657e-01	5.455157e+00	3.559960e-01
4.400044e+02	1.000010e+00	6.002285e-01	7.749333e+00	1.526641e-01
4.500045e+02	1.000003e+00	4.030968e-01	6.801964e+00	-5.742116e-02
4.600046e+02	9.999983e-01	5.711653e-01	6.261108e+00	-2.649663e-01
4.700047e+02	1.000001e+00	3.779045e-01	8.221933e+00	-4.607901e-01
4.800048e+02	1.000002e+00	5.286793e-01	5.145113e+00	-6.362297e-01
4.900049e+02	1.000007e+00	3.718712e-01	8.920412e+00	-7.835243e-01
5.000050e+02	1.000014e+00	4.872717e-01	5.021313e+00	-8.961579e-01
5.100051e+02	1.000013e+00	3.789191e-01	8.509737e+00	-9.691479e-01
5.200052e+02	1.000013e+00	4.588542e-01	5.952528e+00	-9.992655e-01
5.300053e+02	1.000011e+00	3.974882e-01	7.220605e+00	-9.851783e-01
5.400054e+02	1.000002e+00	4.437675e-01	7.418146e+00	-9.275094e-01
5.500055e+02	1.000000e+00	4.328059e-01	5.770008e+00	-8.288101e-01
5.600056e+02	1.000001e+00	4.348849e-01	8.603747e+00	-6.934465e-01
5.700057e+02	1.000001e+00	4.868575e-01	4.967453e+00	-5.274067e-01
5.800058e+02	1.000009e+00	4.293970e-01	8.847745e+00	-3.380358e-01
5.900059e+02	1.000013e+00	5.498965e-01	5.266456e+00	-1.337112e-01
6.000060e+02	1.000015e+00	4.326160e-01	8.011348e+00	7.652843e-02
6.100061e+02	1.000016e+00	6.043236e-01	6.503651e+00	2.833827e-01
6.200062e+02	1.000010e+00	4.500381e-01	6.562106e+00	4.777008e-01
6.300063e+02	1.000004e+00	6.376229e-01	7.985878e+00	6.508868e-01
6.400064e+02	1.000000e+00	4.771470e-01	5.310486e+00	7.952793e-01
6.500065e+02	9.999967e-01	6.495855e-01	8.883819e+00	9.044908e-01
6.600066e+02	9.999995e-01	5.012666e-01	4.951051e+00	9.736902e-01
6.700067e+02	1.000005e+00	6.458122e-01	8.698818e+00	9.998161e-01
6.800068e+02	1.000011e+00	5.133081e-01	5.679179e+00	9.817129e-01
6.900069e+02	1.000016e+00	6.272094e-01	7.534923e+00	9.201813e-01
7.000070e+02	1.000016e+00	5.158440e-01	7.089687e+00	8.179435e-01
7.100071e+02	1.000014e+00	5.887309e-01	6.039161e+00	6.795220e-01
7.200072e+02	1.000009e+00	5.177941e-01	8.399581e+00	5.110404e-01
7.300073e+02	1.000001e+00	5.294763e-01	5.047280e+00	3.199517e-01
7.400074e+02	9.999996e-01	5.226102e-01	8.877445e+00	1.147093e-01
7.500075e+02	9.999993e-01	4.606804e-01	5.118155e+00	-9.560763e-02
7.600076e+02	1.000001e+00	5.247589e-01	8.254502e+00	-3.016951e-01
7.700077e+02	1.000009e+00	4.007737e-01	6.213526e+00	-4.944364e-01
7.800078e+02	1.000013e+00	5.185030e-01	6.879844e+00	-6.653052e-01
7.900079e+02	1.000013e+00	3.622374e-01	7.717790e+00	-8.067427e-01
8.000080e+02	1.000015e+00	5.073941e-01	5.521677e+00	-9.124921e-01
8.100081e+02	1.000008e+00	3.452766e-01	8.789617e+00	-9.778753e-01
8.200082e+02	1.000003e+00	5.021425e-01	4.933659e+00	-1.000000e+00
8.300083e+02	1.000002e+00	3.446084e-01	8.833317e+00	-9.778874e-01
8.400084e+02	9.999985e-01	5.087348e-01	5.440528e+00	-9.125158e-01
8.500085e+02	1.000003e+00	3.601250e-01	7.824610e+00	-8.067769e-01
