t	N	x	E	sin(t)
1.000010e+01	1.000007e+00	3.362781e-01	1.405559e+01	-3.814682e-01
2.000020e+01	1.000005e+00	4.487590e-01	1.892200e+01	7.052447e-01
3.000030e+01	9.999987e-01	5.536334e-01	7.567575e+00	-9.223627e-01
4.000040e+01	9.999993e-01	5.007620e-01	7.888047e+00	9.999862e-01
5.000050e+01	1.000011e+00	5.194889e-01	1.909107e+01	-9.263756e-01
6.000060e+01	9.999982e-01	6.272867e-01	1.370090e+01	7.126636e-01
7.000070e+01	9.999984e-01	5.092976e-01	4.942108e+00	-3.911711e-01
8.000080e+01	1.000007e+00	3.271575e-01	1.438776e+01	1.051941e-02
9.000090e+01	1.000007e+00	4.207549e-01	1.874829e+01	3.717232e-01
1.000010e+02	9.999970e-01	5.950214e-01	7.276142e+00	-6.977478e-01
1.100011e+02	1.000001e+00	5.593178e-01	8.221943e+00	9.182478e-01
1.200012e+02	1.000012e+00	4.905644e-01	1.924704e+01	-9.998755e-01
1.300013e+02	9.999994e-01	5.692372e-01	1.331553e+01	9.302860e-01
1.400014e+02	1.000001e+00	5.142779e-01	4.967370e+00	-7.200036e-01
1.500015e+02	1.000006e+00	3.462022e-01	1.471688e+01	4.008306e-01
1.600016e+02	1.000008e+00	4.034349e-01	1.857034e+01	-2.103763e-02
1.700017e+02	9.999980e-01	6.175196e-01	7.018052e+00	-3.619370e-01
1.800018e+02	1.000005e+00	6.119422e-01	8.551142e+00	6.901737e-01
1.900019e+02	1.000010e+00	4.698965e-01	1.938018e+01	-9.140312e-01
2.000020e+02	1.000002e+00	4.989884e-01	1.290814e+01	9.996542e-01
2.100021e+02	1.000005e+00	5.117864e-01	5.014709e+00	-9.340934e-01
2.200022e+02	1.000006e+00	3.893240e-01	1.506025e+01	7.272639e-01
2.300023e+02	1.000008e+00	4.019064e-01	1.837964e+01	-4.104458e-01
2.400024e+02	1.000002e+00	6.190257e-01	6.784929e+00	3.155353e-02
2.500025e+02	1.000010e+00	6.488387e-01	8.866433e+00	3.521108e-01
2.600026e+02	1.000006e+00	4.603818e-01	1.948566e+01	-6.825232e-01
2.700027e+02	1.000005e+00	4.284183e-01	1.249980e+01	9.097135e-01
2.800028e+02	1.000009e+00	5.007479e-01	5.086650e+00	-9.993223e-01
2.900029e+02	1.000008e+00	4.486112e-01	1.542200e+01	9.377975e-01
3.000030e+02	1.000006e+00	4.187963e-01	1.816397e+01	-7.344438e-01
3.100031e+02	1.000006e+00	6.012777e-01	6.562313e+00	4.200158e-01
3.200032e+02	1.000015e+00	6.627100e-01	9.173518e+00	-4.206620e-02
3.300033e+02	1.000003e+00	4.619910e-01	1.956574e+01	-3.422453e-01
3.400034e+02	1.000007e+00	3.692908e-01	1.211149e+01	6.747970e-01
3.500035e+02	1.000012e+00	4.825507e-01	5.180690e+00	-9.052950e-01
3.600036e+02	1.000012e+00	5.133778e-01	1.579034e+01	9.988797e-01
3.700037e+02	1.000003e+00	4.530518e-01	1.791572e+01	-9.413978e-01
3.800038e+02	1.000011e+00	5.694205e-01	6.339693e+00	7.415426e-01
3.900039e+02	1.000017e+00	6.499240e-01	9.489512e+00	-4.295394e-01
4.000040e+02	1.000004e+00	4.722766e-01	1.962705e+01	5.257429e-02
4.100041e+02	1.000008e+00	3.316195e-01	1.175131e+01	3.323419e-01
4.200042e+02	1.000014e+00	4.609188e-01	5.290281e+00	-6.669960e-01
4.300043e+02	1.000014e+00	5.726873e-01	1.614482e+01	9.007763e-01
4.400044e+02	1.000002e+00	4.999922e-01	1.763851e+01	-9.983267e-01
4.500045e+02	1.000014e+00	5.305513e-01	6.116932e+00	9.448940e-01
4.600046e+02	1.000016e+00	6.115204e-01	9.832026e+00	-7.485593e-01
4.700047e+02	1.000008e+00	4.866198e-01	1.967461e+01	4.390154e-01
4.800048e+02	1.000009e+00	3.215645e-01	1.140999e+01	-6.307656e-02
4.900049e+02	1.000015e+00	4.410731e-01	5.409473e+00	-3.224018e-01
5.000050e+02	1.000014e+00	6.168193e-01	1.646908e+01	6.591213e-01
5.100051e+02	1.000004e+00	5.521378e-01	1.734624e+01	-8.961579e-01
5.200052e+02	1.000016e+00	4.924375e-01	5.903511e+00	9.976631e-01
5.300053e+02	1.000013e+00	5.531843e-01	1.020699e+01	-9.482856e-01
5.400054e+02	1.000010e+00	5.000977e-01	1.970829e+01	7.554932e-01
5.500055e+02	1.000009e+00	3.405053e-01	1.106762e+01	-4.484429e-01
5.600056e+02	1.000015e+00	4.286771e-01	5.537938e+00	7.357185e-02
5.700057e+02	1.000011e+00	6.392902e-01	1.676023e+01	3.124259e-01
